log_timestamp,date_read,log_value,library
6/4/2016 13:54,6/2/2016,1,Lawrenceville
6/4/2016 13:55,6/3/2016,1,Lawrenceville
6/4/2016 14:06,6/4/2016,1,West End
6/4/2016 14:33,5/22/2016,1,Brookline
6/4/2016 14:33,5/22/2016,1,Brookline
6/4/2016 14:34,5/19/2016,1,Brookline
6/4/2016 14:34,5/13/2016,1,Brookline
6/4/2016 14:35,5/13/2016,1,Brookline
6/4/2016 14:35,5/12/2016,1,Brookline
6/4/2016 14:35,5/12/2016,1,Brookline
6/4/2016 14:57,6/4/2016,1,Squirrel Hill
6/4/2016 14:58,5/28/2016,1,Squirrel Hill
6/4/2016 14:59,5/30/2016,1,Squirrel Hill
6/4/2016 15:00,5/31/2016,1,Squirrel Hill
6/4/2016 15:01,6/4/2016,5,Squirrel Hill
6/4/2016 15:01,5/31/2016,1,Squirrel Hill
6/4/2016 15:10,6/4/2016,3,Squirrel Hill
6/4/2016 15:26,6/4/2016,1,Main (Oakland)
6/4/2016 15:26,6/4/2016,1,Main (Oakland)
6/4/2016 15:27,6/4/2016,1,Main (Oakland)
6/4/2016 15:34,6/4/2016,1,Squirrel Hill
6/4/2016 16:12,6/4/2016,5,Beechview
6/4/2016 16:13,6/2/2016,2,Beechview
6/4/2016 16:13,6/2/2016,1,Beechview
6/4/2016 16:14,6/2/2016,3,Beechview
6/4/2016 16:14,6/2/2016,1,Beechview
6/4/2016 16:35,6/4/2016,1,Main (Oakland)
6/4/2016 16:36,6/4/2016,1,Main (Oakland)
6/4/2016 17:05,6/4/2016,1,Downtown & Business
6/4/2016 17:15,6/4/2016,3,Main (Oakland)
6/4/2016 17:15,6/4/2016,1,Main (Oakland)
6/4/2016 17:19,6/3/2016,1,Main (Oakland)
6/4/2016 17:20,6/3/2016,2,Main (Oakland)
6/4/2016 17:21,6/4/2016,1,Main (Oakland)
6/4/2016 17:36,6/4/2016,1,East Liberty
6/4/2016 18:00,6/4/2016,1,Main (Oakland)
6/4/2016 18:02,6/4/2016,1,Main (Oakland)
6/4/2016 18:03,6/4/2016,1,Main (Oakland)
6/4/2016 18:03,6/1/2016,1,Main (Oakland)
6/4/2016 18:04,6/3/2016,1,Main (Oakland)
